run_id,mode,prompt_id,run_index,warmup,gamma,max_gen_len,prompt_tokens,target_url,local_target_model,drafter_model,response_format,response_dtype,cloud_generate_use_cache,network_simulated,sim_rtt_ms,sim_uplink_mbps,sim_downlink_mbps,target_generate_steps,generated_tokens,throughput_tokens_s,generation_total_ns,generation_total_ms,target_cloud_generate_ns,target_cloud_generate_ms,target_downlink_ns,target_downlink_ms,target_http_total_ns,target_http_total_ms,target_model_forward_ns,target_model_forward_ms,target_request_encode_ns,target_request_encode_ms,target_response_decode_ns,target_response_decode_ms,target_response_wait_ns,target_response_wait_ms,target_server_encode_ns,target_server_encode_ms,target_upload_ns,target_upload_ms,drafts_accepted,drafts_speculated,acceptance_rate,server_accept_mode,drafter_generate_ns,drafter_generate_ms,target_cloud_verify_ns,target_cloud_verify_ms
fca6053b-b918-4caa-ab3e-15a92fbeefe1,cloud_target_generate,0,0,True,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,24.58452961508104,1423659535,1423.659535,1409668281,1409.668281,105491,0.105491,1423249534,1423.249534,1357874014,1357.874014,64173,0.064173,44530,0.04453,1422753262,1422.753262,43945,0.043945,357952,0.357952,,,,,,,,
d750c93a-6f5a-4eb9-ba49-9769175a8f42,cloud_target_generate,0,0,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,37.6001730381449,930846780,930.84678,928646199,928.646199,145608,0.145608,930432904,930.432904,905708829,905.708829,36647,0.036647,40674,0.040674,929943471,929.943471,66819,0.066819,310445,0.310445,,,,,,,,
030066e6-65be-4489-975a-1e95d2038756,cloud_target_generate,0,1,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,33.57649292002281,1042395943,1042.395943,1038339166,1038.339166,259992,0.259992,1041510052,1041.510052,1011746376,1011.746376,52887,0.052887,82464,0.082464,1040781652,1040.781652,41709,0.041709,397029,0.397029,,,,,,,,
5b59fab4-80af-45ff-9037-4e1314a17b97,cloud_target_generate,0,2,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,34.82932540394183,1004900313,1004.900313,1001506201,1001.506201,142141,0.142141,1004340039,1004.340039,985213587,985.213587,107553,0.107553,41815,0.041815,1003352248,1003.352248,44650,0.04465,809925,0.809925,,,,,,,,
d38b8304-dd70-4bdb-ac33-4f7c95d8505a,speculative_server_accept,0,0,True,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,18.539922270210514,1887818055,1887.818055,,,1090322,1.090322,407257938,407.257938,373554821,373.554821,504909,0.504909,228979,0.228979,402295078,402.295078,319485,0.319485,3621823,3.621823,25,36,0.6944444444444444,True,1402883109,1402.883109,380071522,380.071522
e816521b-8f07-49fe-819d-bc78bf56f4b8,speculative_server_accept,0,0,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,24.090809527347727,1452836193,1452.836193,,,1143906,1.143906,440560520,440.56052,412585637,412.585637,465610,0.46561,236151,0.236151,435920428,435.920428,375674,0.375674,3267517,3.267517,25,36,0.6944444444444444,True,996262652,996.262652,416248488,416.248488
e5552d35-88db-4c53-baf4-7140693b90ce,speculative_server_accept,0,1,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,25.451249082804246,1375178086,1375.178086,,,948737,0.948737,467540301,467.540301,439738682,439.738682,435504,0.435504,187399,0.187399,463284758,463.284758,352473,0.352473,3116681,3.116681,25,36,0.6944444444444444,True,891797358,891.797358,443760727,443.760727
ab5baab1-6559-420f-b5ea-3e1f452852df,speculative_server_accept,0,2,False,4,35,28,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,26.781693520005042,1306862838,1306.862838,,,1433556,1.433556,462588183,462.588183,430204795,430.204795,375540,0.37554,303139,0.303139,457826254,457.826254,369597,0.369597,3007802,3.007802,25,36,0.6944444444444444,True,825233958,825.233958,435773673,435.773673
2f4f019c-5660-4639-813e-ba214a6af40a,cloud_target_generate,1,0,True,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,33.01393937941212,1060158244,1060.158244,1057355633,1057.355633,117636,0.117636,1059734990,1059.73499,1039863845,1039.863845,91495,0.091495,33147,0.033147,1058969031,1058.969031,60829,0.060829,623505,0.623505,,,,,,,,
fd6851cb-6e07-4a76-ad4b-b7eb2561b9a6,cloud_target_generate,1,0,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,36.28263828569867,964648704,964.648704,962188967,962.188967,132879,0.132879,964281367,964.281367,936371349,936.371349,38368,0.038368,40430,0.04043,963817695,963.817695,38416,0.038416,307203,0.307203,,,,,,,,
beb7f2a5-6357-40dd-9e17-194adf087f8e,cloud_target_generate,1,1,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,37.65942839254229,929382136,929.382136,926201427,926.201427,140287,0.140287,928988282,928.988282,913252185,913.252185,52797,0.052797,40323,0.040323,928431631,928.431631,46522,0.046522,392910,0.39291,,,,,,,,
7920700d-0cce-46cf-8f38-5f308b6ff06e,cloud_target_generate,1,2,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,35,35,33.0217348653188,1059907971,1059.907971,1056974676,1056.974676,108308,0.108308,1059532265,1059.532265,1041173151,1041.173151,49288,0.049288,31559,0.031559,1059035737,1059.035737,42718,0.042718,366066,0.366066,,,,,,,,
8c33154e-f3ee-4a98-a0e8-0b582323fa17,speculative_server_accept,1,0,True,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,30.273991176159157,1156107888,1156.107888,,,1058730,1.05873,323198144,323.198144,299235339,299.235339,489336,0.489336,230412,0.230412,318927940,318.92794,275956,0.275956,2960403,2.960403,27,28,0.9642857142857143,True,817684190,817.68419,302817706,302.817706
c33f4138-70dc-4cf2-a7b9-ca65a6acc6c9,speculative_server_accept,1,0,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,29.147050555907292,1200807606,1200.807606,,,1106037,1.106037,353413742,353.413742,328393217,328.393217,411681,0.411681,296311,0.296311,349201647,349.201647,297738,0.297738,2855087,2.855087,27,28,0.9642857142857143,True,832940278,832.940278,332167976,332.167976
7970505f-f334-4945-8f1c-4e7f348ce987,speculative_server_accept,1,1,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,32.112579319034296,1089915564,1089.915564,,,873309,0.873309,340284938,340.284938,315906120,315.90612,356258,0.356258,181906,0.181906,336643158,336.643158,267156,0.267156,2589776,2.589776,27,28,0.9642857142857143,True,736571748,736.571748,320641356,320.641356
b55b3aa0-47ac-4294-958a-810947f5cf6c,speculative_server_accept,1,2,False,4,35,29,http://127.0.0.1:8000,Qwen/Qwen2.5-1.5B-Instruct,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,False,0.0,0.0,0.0,,35,33.013716009564945,1060165417,1060.165417,,,817418,0.817418,378740132,378.740132,354490273,354.490273,355718,0.355718,178575,0.178575,375145661,375.145661,293004,0.293004,2594388,2.594388,27,28,0.9642857142857143,True,668333052,668.333052,357933402,357.933402
