run_id,mode,prompt_id,run_index,warmup,gamma,max_gen_len,prompt_tokens,target_url,drafter_model,response_format,response_dtype,network_simulated,sim_rtt_ms,sim_uplink_mbps,sim_downlink_mbps,generated_tokens,drafts_accepted,drafts_speculated,acceptance_rate,throughput_tokens_s,acceptance_sampling_ns,acceptance_sampling_ms,drafter_generate_ns,drafter_generate_ms,generation_total_ns,generation_total_ms,target_cloud_verify_ns,target_cloud_verify_ms,target_downlink_ns,target_downlink_ms,target_http_total_ns,target_http_total_ms,target_model_forward_ns,target_model_forward_ms,target_request_encode_ns,target_request_encode_ms,target_response_decode_ns,target_response_decode_ms,target_response_wait_ns,target_response_wait_ms,target_server_encode_ns,target_server_encode_ms,target_tensor_materialize_ns,target_tensor_materialize_ms,target_upload_ns,target_upload_ms
5f49631e-149a-4d52-b2a9-2f2437503864,speculative,0,0,True,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,24,40,0.6,15.923800541555446,7431756,7.431756,1202710767,1202.710767,2197967747,2197.967747,835249521,835.249521,29701589,29.701589,902414038,902.414038,821408708,821.408708,493953,0.493953,370761,0.370761,869351937,869.351937,12328838,12.328838,17978717,17.978717,2995028,2.995028
8b3af8bd-e7f0-4e8c-875e-69a92b77f3d2,speculative,0,0,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,25,36,0.6944444444444444,27.468856391393544,4069707,4.069707,732442536,732.442536,1274170264,1274.170264,452416928,452.416928,24053726,24.053726,506543680,506.54368,444435228,444.435228,412359,0.412359,271520,0.27152,479117720,479.11772,6179397,6.179397,15215941,15.215941,3075297,3.075297
0aa9538c-a99a-4f4c-97a9-f9de0bba7124,speculative,0,1,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,15,9,20,0.45,18.415911064291155,1782007,1.782007,484366381,484.366381,814513056,814.513056,282791487,282.791487,11258272,11.258272,311125216,311.125216,278249767,278.249767,218389,0.218389,160207,0.160207,298258300,298.2583,3499033,3.499033,8606463,8.606463,1458796,1.458796
84adcd01-e9e7-4378-a333-02951c8c7370,speculative,0,2,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,24,38,0.631578947368421,25.37423634713259,4625813,4.625813,788556949,788.556949,1379351856,1379.351856,488935736,488.935736,30267548,30.267548,550693374,550.693374,480416326,480.416326,396122,0.396122,358632,0.358632,517686313,517.686313,6491300,6.4913,16870359,16.870359,2372206,2.372206
0ed32a16-a92d-4757-a9f2-c701a59d0c3f,target_ar,0,0,True,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,,,,21.829698777157095,,,,,1603320337,1603.320337,1422416057,1422.416057,26537709,26.537709,1532627302,1532.627302,1413209575,1413.209575,3402379,3.402379,1222403,1.222403,1486326747,1486.326747,3693020,3.69302,19050343,19.050343,18233970,18.23397
d42c2569-3f65-4f18-ac3a-8c952b82b3a6,target_ar,0,0,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,,,,23.26343687938717,,,,,1504506844,1504.506844,1324284347,1324.284347,26179962,26.179962,1431834811,1431.834811,1315585138,1315.585138,3466658,3.466658,1244875,1.244875,1386010642,1386.010642,3479837,3.479837,19100716,19.100716,18119653,18.119653
57482451-fa8d-4506-ad40-2498c9d7c082,target_ar,0,1,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,,,,20.811739023370922,,,,,1681743172,1681.743172,1494984073,1494.984073,25527865,25.527865,1613254621,1613.254621,1485773475,1485.773475,3269288,3.269288,1185687,1.185687,1568918675,1568.918675,3655847,3.655847,18598790,18.59879,17380305,17.380305
e7f2abf4-c0df-4f45-bca8-91bbc9e3abfb,target_ar,0,2,False,4,35,28,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,,,,22.314664595267335,,,,,1568475289,1568.475289,1380668265,1380.668265,26545496,26.545496,1486847548,1486.847548,1371889880,1371.88988,3249501,3.249501,1170957,1.170957,1441645966,1441.645966,3495309,3.495309,18783771,18.783771,17115137,17.115137
5684a9c6-d5cb-44ef-8f50-d1949f5fc176,speculative,1,0,True,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,24,30,0.8,25.97447955879666,3934082,3.934082,763365728,763.365728,1347476469,1347.476469,493295912,493.295912,19422002,19.422002,543222847,543.222847,485848043,485.848043,567408,0.567408,312175,0.312175,520078928,520.078928,5532814,5.532814,17216911,17.216911,3409868,3.409868
b3ea36db-93ec-4551-995d-6dd0a800470c,speculative,1,0,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,binary,float32,False,0.0,0.0,0.0,35,24,30,0.8,28.96691382219656,3736542,3.736542,617908141,617.908141,1208275076,1208.275076,503804330,503.80433,20630713,20.630713,554661604,554.661604,496590096,496.590096,483863,0.483863,299845,0.299845,530959434,530.959434,5417697,5.417697,14433453,14.433453,2718793,2.718793
